"RACK 0, 6ES7 390-1???0-0AA0, UR"
"RACK 0, SLOT 2, 6ES7 318-3FL01-0AB0 V3.2, CPU 319F-3 PN/DP"
"RACK 0, SLOT 2, SUBSLOT 1, _S7H_HSP_MPI_DP_318_3FL01_FW32_CT, MPI/DP"
"RACK 0, SLOT 2, SUBSLOT 2, _S7H_HSP_DP_ETCR_INTEGR_318_3FL01_FW32_CT, DP"
"RACK 0, SLOT 2, SUBSLOT 3, _S7H_HSP_IO_CONTROLLER_318_3FL01_FW32_CT, WTP1PLC"
"RACK 0, SLOT 2, SUBSLOT 4, _S7H_HSP_PORT_SUBMODUL_318_3FL01_FW32_CT, Port 1"
"RACK 0, SLOT 2, SUBSLOT 5, _S7H_HSP_PORT_SUBMODUL_318_3FL01_FW32_CT, Port 2"
