"RACK 0, 6ES7 390-1???0-0AA0, UR"
"RACK 0, SLOT 2, 6ES7 315-2EH14-0AB0 V3.1, CPU 315-2PN/DP"
"RACK 0, SLOT 2, SUBSLOT 1, _S7H_HSP_MPI_DP_315_2EH14_FW31_CT, MPI/DP"
"RACK 0, SLOT 2, SUBSLOT 2, _S7H_HSP_IO_CONTROLLER_315_2EH14_FW31_CT, CPU315-PN-IO"
"RACK 0, SLOT 2, SUBSLOT 3, _S7H_HSP_PORT_SUBMODUL_315_2EH14_FW31_CT, Port 1"
"RACK 0, SLOT 2, SUBSLOT 4, _S7H_HSP_PORT_SUBMODUL_315_2EH14_FW31_CT, Port 2"
"RACK 0, SLOT 4, 6ES7 321-1BL00-0AA0, DI32xDC24V"
"RACK 0, SLOT 5, 6ES7 322-1BL00-0AA0, DO32xDC24V/0.5A"
"RACK 0, SLOT 6, 6ES7 331-7KF02-0AB0, AI8x12Bit"
"RACK 0, SLOT 7, 6ES7 331-7KF02-0AB0, AI8x12Bit"
