"RACK 0, 6ES7 390-1???0-0AA0, UR"
"RACK 0, SLOT 2, 6ES7 315-2EH14-0AB0 V3.2, CPU 315-2 PN/DP"
"RACK 0, SLOT 2, SUBSLOT 1, _S7H_HSP_MPI_DP_315_2EH14_FW32_CT, MPI/DP"
"RACK 0, SLOT 2, SUBSLOT 2, _S7H_HSP_IO_CONTROLLER_315_2EH14_FW32_CT, PN-IO"
"RACK 0, SLOT 2, SUBSLOT 3, _S7H_HSP_PORT_SUBMODUL_315_2EH14_FW32_CT, Port 1"
"RACK 0, SLOT 2, SUBSLOT 4, _S7H_HSP_PORT_SUBMODUL_315_2EH14_FW32_CT, Port 2"
