"RACK 0, 6ES7 390-1???0-0AA0, UR"
"RACK 0, SLOT 1, 6ES7 307-1EA00-0AA0, PS 307 5A"
"RACK 0, SLOT 2, 6ES7 314-1AF10-0AB0 V2.0, CPU 314"
"RACK 0, SLOT 4, 6ES7 321-1BL00-0AA0, DI32xDC24V"
"RACK 0, SLOT 5, 6ES7 321-1BH02-0AA0, DI16xDC24V"
"RACK 0, SLOT 6, 6ES7 322-1BL00-0AA0, DO32xDC24V/0.5A"
"RACK 0, SLOT 7, 6ES7 331-7KF02-0AB0, AI8x12Bit"
"RACK 0, SLOT 8, 6ES7 332-5HB01-0AB0, AO2x12Bit"
"RACK 0, SLOT 9, 6GK7 342-5DA02-0XE0 V5.0, CP 342-5"
